,Longitude,Latitude,Year,Date,Hour,Districts
0,-73.67721816079799,45.518355338826,2018,2018/09/10,21,Montréal
1,-73.550943795552,45.547616760979004,2018,2018/07/08,22,Montréal
2,-73.60006888995,45.544772014382,2018,2018/06/19,6,Montréal
3,-73.645704322212,45.529995272564,2018,2018/05/11,2,Montréal
4,-73.629949662287,45.541304599591996,2018,2018/11/04,10,Montréal
5,-73.635335814611,45.549252647184,2018,2018/07/31,6,Montréal
6,-73.637671082835,45.546338887256,2018,2018/09/13,5,Montréal
7,-73.640028895132,45.501075959144,2018,2018/08/14,9,Montréal
8,-73.564030554495,45.506205187527,2018,2018/09/09,2,Montréal
9,-73.61822382061999,45.608363445924,2018,2018/09/18,12,Montréal
10,-73.636218637575,45.429986449473,2018,2018/07/17,17,Montréal
11,-73.602936761995,45.495234495747006,2018,2018/01/30,17,Montréal
12,-73.71951567302101,45.532421454659996,2018,2018/10/15,15,Montréal
13,-73.694026095081,45.513905546375,2018,2018/08/22,15,Montréal
14,-73.67383299962401,45.52101082248,2018,2018/02/04,11,Montréal
15,-73.87100284128701,45.475991106852,2018,2018/05/04,22,Montréal
16,-73.646555544189,45.595399102929,2018,2018/07/10,9,Montréal
17,-73.572285596325,45.506662133171,2018,2018/07/30,22,Montréal
18,-73.611880409609,45.599132731032,2018,2018/01/08,22,Montréal
19,-73.58536483339,45.561619584631,2018,2018/06/11,7,Montréal
20,-73.57973779609199,45.562539393701,2018,2018/03/08,15,Montréal
21,-73.829371511791,45.467596417937,2018,2018/05/18,3,Pointe-Claire
22,-73.583858831523,45.48867618825499,2018,2018/12/12,11,Westmount
23,-73.582921402194,45.564429081038,2018,2018/05/16,14,Montréal
24,-73.560343654478,45.537835347978,2017,2017/03/03,19,Montréal
25,-73.677221221251,45.50438870088,2017,2017/08/19,12,Montréal
26,-73.63127902501199,45.526402802976996,2017,2017/10/26,19,Montréal
27,-73.613341828677,45.550723693170006,2017,2017/12/11,11,Montréal
28,-73.60462888676999,45.572367123587,2017,2017/03/17,10,Montréal
29,-73.653328573988,45.494935795859995,2017,2017/01/11,5,Montréal
30,-73.87154167942799,45.490563745357,2017,2017/03/12,6,Montréal
31,-73.819984114541,45.506733249483005,2017,2017/09/08,16,Montréal
32,-73.555099795639,45.521847727349005,2017,2017/04/10,13,Montréal
33,-73.594223517667,45.503215943727,2017,2017/10/04,11,Montréal
34,-73.64694339820501,45.442346413847,2017,2017/08/21,10,Montréal
35,-73.688245251094,45.440475976982,2017,2017/10/26,15,Montréal
36,-73.612008633601,45.614567655601995,2017,2017/04/18,0,Montréal
37,-73.634213807558,45.454279023500995,2017,2017/01/20,20,Montréal
38,-73.564503483571,45.481430492825005,2017,2017/02/25,23,Montréal
39,-73.616263246834,45.457759250541,2017,2017/03/20,1,Montréal
40,-73.582804333366,45.516829466321,2017,2017/07/17,0,Montréal
41,-73.578744419766,45.511077842919995,2017,2017/09/14,15,Montréal
42,-73.642148335407,45.587284272051,2017,2017/07/01,17,Montréal
43,-73.57973779596401,45.562539393701,2017,2017/05/29,14,Montréal
44,-73.596382331152,45.554587865277995,2017,2017/07/14,9,Montréal
45,-73.517412103273,45.629884083036,2017,2017/12/14,13,Montréal
46,-73.837706974701,45.463107116780996,2017,2017/12/08,99,Pointe-Claire
47,-73.72308079679401,45.462455153425,2017,2017/04/12,3,Dorval
48,-73.735133479952,45.453643900943,2017,2017/10/27,22,Dorval
49,-73.621136035791,45.623751009519,2017,2017/06/30,12,Montréal
50,-73.641613963881,45.451382025974,2017,2017/04/27,8,Montréal-Ouest
51,-73.614131411961,45.543429785013,2016,2016/01/23,13,Montréal
52,-73.651204100244,45.528856656966,2016,2016/06/17,0,Montréal
53,-73.586917580614,45.525782905745004,2016,2016/11/13,3,Montréal
54,-73.587458295932,45.518902956272,2016,2016/09/25,12,Montréal
55,-73.605514119221,45.523660979584996,2016,2016/08/02,14,Montréal
56,-73.58240995151,45.513665100320004,2016,2016/01/07,11,Montréal
57,-73.593129126355,45.536967333088995,2016,2016/05/31,8,Montréal
58,-73.559408387087,45.50623286609,2016,2016/06/08,14,Montréal
59,-73.679445170744,45.537262063549996,2016,2016/12/25,18,Montréal
60,-73.611981040405,45.472533363105,2016,2016/12/19,0,Montréal
61,-73.561911930631,45.514390651356,2016,2016/04/02,3,Montréal
62,-73.613084622256,45.495347975716,2016,2016/11/24,10,Montréal
63,-73.59733625183,45.577568721233995,2016,2016/09/12,14,Montréal
64,-73.636474852781,45.575920894755,2016,2016/08/25,99,Montréal
65,-73.647687965776,45.48311634526301,2016,2016/01/27,99,Hampstead
66,-73.586249905502,45.546507244278004,2016,2016/08/22,13,Montréal
67,-73.556373907031,45.545306814441005,2016,2016/11/19,5,Montréal
68,-73.924570114519,45.423578738457,2016,2016/04/10,9,Sainte-Anne-de-Bellevue
69,-73.556129327063,45.645608981379006,2016,2016/06/15,12,Montréal
70,-73.487960766503,45.649437083222,2016,2016/03/05,3,Montréal
71,-73.65363110705499,45.465747989898006,2016,2016/12/10,11,Côte-Saint-Luc
72,-73.53226746935701,45.600960082610996,2016,2016/08/11,21,Montréal
73,-73.521578429729,45.59237015108,2016,2016/01/05,15,Montréal
74,-73.567253468695,45.64786863194,2016,2016/11/17,17,Montréal
75,-73.574571700704,45.53291761926,2015,2015/09/13,3,Montréal
76,-73.822089686728,45.459335508032,2015,2015/11/26,20,Pointe-Claire
77,-73.488078028677,45.639588173448,2015,2015/05/16,23,Montréal-Est
78,-73.640818721399,45.451819436951,2015,2015/10/22,7,Montréal-Ouest
79,-73.649807775489,45.473525868234,2015,2015/11/06,16,Hampstead
80,-73.573875471438,45.549747227773,2015,2015/09/20,12,Montréal
81,-73.793592964176,45.484391749063995,2015,2015/07/30,10,Dollard-Des Ormeaux
82,-73.650394935544,45.58405571395701,2015,2015/05/31,9,Montréal
83,-73.618761932149,45.605652735994,2015,2015/05/07,18,Montréal
84,-73.580117591569,45.508206230146,2015,2015/11/26,18,Montréal
85,-73.638173457759,45.600303434618,2015,2015/07/04,21,Montréal
86,-73.583729883697,45.524327961465,2015,2015/08/20,1,Montréal
87,-73.619814873624,45.517866904239995,2015,2015/02/07,16,Montréal
88,-73.613962298504,45.538080281976,2015,2015/08/22,21,Montréal
89,-73.577280878322,45.501120257868,2015,2015/08/24,22,Montréal
90,-73.543973221111,45.503585517956,2015,2015/10/04,12,Montréal
91,-73.532349330908,45.549321989102005,2015,2015/06/28,2,Montréal
92,-73.572785846524,45.462162799260994,2015,2015/09/25,7,Montréal
93,-73.639653173738,45.498084718931,2015,2015/01/26,6,Montréal
94,-73.625852953748,45.492759227333,2015,2015/09/22,15,Montréal
95,-73.635361316601,45.549216623538,2015,2015/07/08,2,Montréal
96,-73.64505181499699,45.54849331966,2015,2015/10/02,9,Montréal
97,-73.601883139182,45.532574149382,2015,2015/02/12,13,Montréal
98,-73.494927406724,45.631581058439,2014,2014/11/22,2,Montréal-Est
99,-73.955975865474,45.404839975615,2014,2014/01/08,18,Sainte-Anne-de-Bellevue
100,-73.670943937686,45.525677693718,2014,2014/02/12,7,Montréal
101,-73.692730235534,45.441890409159,2014,2014/10/07,20,Montréal
102,-73.639519384813,45.434917338982004,2014,2014/07/13,8,Montréal
103,-73.649960906142,45.42119686894301,2014,2014/09/29,17,Montréal
104,-73.577044611806,45.495829300156004,2014,2014/04/03,14,Montréal
105,-73.580529414859,45.507123988172,2014,2014/07/09,11,Montréal
106,-73.570067960423,45.502923748661004,2014,2014/08/16,5,Montréal
107,-73.56298637351401,45.49541721274,2014,2014/10/09,9,Montréal
108,-73.55575492929499,45.495611720225,2014,2014/11/27,9,Montréal
109,-73.56331031846999,45.51503571891,2014,2014/09/29,21,Montréal
110,-73.630863749403,45.491351035689,2014,2014/09/19,22,Montréal
111,-73.596367423834,45.530280981891,2014,2014/04/28,6,Montréal
112,-73.61064206360601,45.538563214327,2014,2014/05/06,10,Montréal
113,-73.620687964747,45.5999020629,2014,2014/06/09,19,Montréal
114,-73.61665825754599,45.616197606843,2014,2014/11/28,4,Montréal
115,-73.569123349354,45.581581682094004,2014,2014/11/20,11,Montréal
116,-73.572454439734,45.552177981590994,2014,2014/01/09,8,Montréal
117,-73.603866306778,45.622894579406996,2014,2014/02/05,6,Montréal
118,-73.549084812044,45.573441927012,2014,2014/05/02,15,Montréal
119,-73.626764167857,45.486430369833,2014,2014/06/17,99,Montréal
120,-73.594706055609,45.450898324871,2013,2013/11/21,6,Montréal
121,-73.526051451058,45.506627183811,2013,2013/04/16,99,Montréal
122,-73.570382637851,45.498783719544,2013,2013/09/05,0,Montréal
123,-73.558322179406,45.491754460605,2013,2013/04/03,16,Montréal
124,-73.563408237562,45.49966322575499,2013,2013/01/15,8,Montréal
125,-73.632316347924,45.513745227158005,2013,2013/12/08,11,Mont-Royal
126,-73.720724910437,45.532093985879,2013,2013/02/06,16,Montréal
127,-73.692160085609,45.438915015932,2013,2013/12/09,18,Montréal
128,-73.71310629710999,45.46555920050999,2013,2013/10/07,23,Montréal
129,-73.85031426485,45.447270232816,2013,2013/10/28,6,Kirkland
130,-73.588051892115,45.488080061972,2013,2013/10/24,11,Westmount
131,-73.546290434505,45.522839814109,2013,2013/05/13,99,Montréal
132,-73.63101653377599,45.500339044345,2013,2013/05/30,21,Montréal
133,-73.619973902846,45.535405190685,2013,2013/04/26,20,Montréal
134,-73.595367655517,45.571536370956004,2013,2013/02/07,22,Montréal
135,-73.616176093649,45.551976494240996,2013,2013/05/09,13,Montréal
136,-73.585851291044,45.581787644665006,2013,2013/07/03,0,Montréal
137,-73.584829200841,45.586558085101004,2013,2013/08/30,8,Montréal
138,-73.553158469007,45.669054807676,2013,2013/12/03,99,Montréal
139,-73.53907749660499,45.574332905769,2013,2013/01/27,13,Montréal
140,-73.517404830936,45.574545460627,2013,2013/05/06,10,Montréal
141,-73.590159144477,45.598142214804,2013,2013/01/22,17,Montréal
142,-73.636263985876,45.527261387905,2013,2013/11/07,23,Montréal
143,-73.615170849729,45.541599279061,2013,2013/10/30,99,Montréal
144,-73.589482148114,45.526950528720995,2013,2013/11/01,13,Montréal
145,-73.602213697205,45.522206599726,2013,2013/07/18,19,Montréal
146,-73.59778741745,45.531783342501,2013,2013/08/18,17,Montréal
147,-73.551029885662,45.519958387804,2012,2012/04/01,1,Montréal
148,-73.606820395878,45.450743006209,2012,2012/05/21,13,Montréal
149,-73.661428984092,45.475961958767996,2012,2012/10/26,17,Côte-Saint-Luc
150,-73.680143113787,45.437937958266,2012,2012/11/06,18,Montréal
151,-73.909812945125,45.440233437131994,2012,2012/06/10,99,Kirkland
152,-73.646565750156,45.441352210809,2012,2012/09/17,15,Montréal
153,-73.811355482968,45.476789303798,2012,2012/10/26,23,Montréal
154,-73.714057547866,45.437627490368996,2012,2012/07/27,10,Montréal
155,-73.656063887365,45.499825137146,2012,2012/09/24,15,Montréal
156,-73.70525105823499,45.496439525054996,2012,2012/12/26,11,Montréal
157,-73.68100822435899,45.499242210061,2012,2012/12/13,17,Montréal
158,-73.691695602176,45.527490445161,2012,2012/07/13,16,Montréal
159,-73.722935731517,45.455747013827,2012,2012/08/14,18,Dorval
160,-73.627125814381,45.549134014048995,2012,2012/07/24,6,Montréal
161,-73.65578940466601,45.569039161042994,2012,2012/02/23,10,Montréal
162,-73.62155581710999,45.569023704027,2012,2012/04/20,23,Montréal
163,-73.49102866709501,45.638249661794006,2012,2012/07/14,0,Montréal
164,-73.560580904485,45.582220525198004,2012,2012/10/19,11,Montréal
165,-73.536463728719,45.578378503245,2012,2012/03/08,18,Montréal
166,-73.597334689278,45.626156199657004,2012,2012/10/22,13,Montréal
167,-73.52854108494199,45.65617744533,2012,2012/01/11,22,Montréal
168,-73.566242867534,45.569157551245006,2012,2012/06/29,9,Montréal
169,-73.648489894525,45.592727125543,2012,2012/03/17,99,Montréal
170,-73.58291906514,45.523963496929,2012,2012/07/23,23,Montréal
171,-73.569435273168,45.512499448665,2012,2012/03/28,1,Montréal
172,-73.608405188439,45.527230977373,2012,2012/12/01,2,Montréal
173,-73.594443386687,45.519016794638006,2012,2012/09/28,23,Montréal
174,-73.613588430514,45.539949941391,2012,2012/05/29,14,Montréal
175,-73.605014250481,45.539363622852,2012,2012/01/16,18,Montréal
176,-73.61671499512201,45.55136090744001,2012,2012/11/27,12,Montréal
177,-73.829371511791,45.467596417937,2012,2012/02/02,16,Pointe-Claire
178,-73.788746357249,45.503412979391,2012,2012/02/21,20,Dollard-Des Ormeaux
