Longitude,Latitude,District,Year,Vehicle Type,Date,Hour,Road Type,Road Conditions,Red Light,Alcohol,Aggressive/Distracted Driving,Pedestrian,Cyclist,Automobile,Motorcycle,Truck
-79.45827,43.650427,Toronto and East York,2018,Motorcycle,2018-09-15T04:00:00.000Z,2,Major Arterial,Dry, , , , , ,Yes,Yes, 
-79.334277,43.666098,Toronto and East York,2018,Bicycle,2018-05-16T04:00:00.000Z,8,Minor Arterial,Dry, , ,Yes, ,Yes, , ,Yes
-79.52972,43.68162,Etobicoke York,2018,"Automobile, Station Wagon",2018-01-07T05:00:00.000Z,18,Major Arterial,Other, ,Yes,Yes, , ,Yes, , 
-79.27509599999999,43.730475,Scarborough,2018, ,2018-01-09T05:00:00.000Z,18,Major Arterial,Wet, , , ,Yes, ,Yes, , 
-79.508113,43.719008,North York,2018, ,2018-04-13T04:00:00.000Z,15,Major Arterial, , , ,Yes,Yes, ,Yes, , 
-79.202304,43.783128999999995,Scarborough,2018, ,2018-11-12T05:00:00.000Z,18,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.350383,43.718589,North York,2018,Passenger Van,2018-08-16T04:00:00.000Z,15,Major Arterial,Dry, , , , , ,Yes, ,Yes
-79.458881,43.637709,Toronto and East York,2018,Bicycle,2018-05-15T04:00:00.000Z,15,Major Arterial,Dry,Yes, ,Yes, ,Yes,Yes, , 
-79.35094000000001,43.658515,Toronto and East York,2018,Bicycle,2018-10-08T04:00:00.000Z,20,Major Arterial,Dry, , , , ,Yes,Yes, , 
-79.452075,43.702281,North York,2018, ,2018-06-11T04:00:00.000Z,15,Major Arterial,Dry,Yes, ,Yes,Yes, ,Yes, , 
-79.53622,43.753218,Etobicoke York,2018,"Automobile, Station Wagon",2018-04-23T04:00:00.000Z,0,Major Arterial,Dry,Yes, ,Yes, , ,Yes, , 
-79.499957,43.623107,Etobicoke York,2018, ,2018-03-21T04:00:00.000Z,3,Expressway,Dry, , ,Yes, , ,Yes, , 
-79.512874,43.599005,Etobicoke York,2018, ,2018-05-15T04:00:00.000Z,22,Major Arterial, , ,Yes,Yes, , ,Yes, , 
-79.299571,43.800383000000004,Scarborough,2018, ,2018-12-07T05:00:00.000Z,18,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.232578,43.741534,Scarborough,2018, ,2018-11-25T05:00:00.000Z,17,Minor Arterial,Dry, , ,Yes,Yes, ,Yes, , 
-79.57712099999999,43.705172,Etobicoke York,2018,Motorcycle,2018-05-30T04:00:00.000Z,3,Major Arterial, , , ,Yes, , , ,Yes,Yes
-79.413097,43.777663000000004,North York,2018,"Automobile, Station Wagon",2018-07-25T04:00:00.000Z,0,Minor Arterial,Wet, , ,Yes, , ,Yes, , 
-79.282741,43.773322,Scarborough,2018, ,2018-02-21T05:00:00.000Z,18,Collector,Dry, , , ,Yes, , , ,Yes
-79.29249899999999,43.782229,Scarborough,2018, ,2018-09-26T04:00:00.000Z,20,Major Arterial,Dry, , ,Yes,Yes, ,Yes, , 
-79.49109200000001,43.724532,North York,2018, ,2018-03-29T04:00:00.000Z,12,Major Arterial,Wet, , , ,Yes, ,Yes, , 
-79.43934899999999,43.69797,Toronto and East York,2018, ,2018-07-26T04:00:00.000Z,0,Major Arterial,Dry, , ,Yes,Yes, , , ,Yes
-79.254787,43.706175,Scarborough,2018, ,2018-08-06T04:00:00.000Z,9,Local,Dry, , ,Yes,Yes, ,Yes, , 
-79.306857,43.818521999999994,Scarborough,2018, ,2018-02-27T05:00:00.000Z,15,Collector,Dry, , , ,Yes, ,Yes, , 
-79.402156,43.725032,North York,2018, ,2018-05-15T04:00:00.000Z,9,Major Arterial, , , ,Yes,Yes, ,Yes, , 
-79.383662,43.68439,Toronto and East York,2018,Motorcycle,2018-03-28T04:00:00.000Z,17,Major Arterial,Dry, , ,Yes, , ,Yes,Yes, 
-79.307048,43.823569,Scarborough,2018, ,2018-05-29T04:00:00.000Z,9,Major Arterial,Dry, , , , , , , , 
-79.382091,43.649542,Toronto and East York,2018, ,2018-01-05T05:00:00.000Z,11,Major Arterial,Other, , ,Yes,Yes, ,Yes, , 
-79.213535,43.814105,Scarborough,2018,"Automobile, Station Wagon",2018-04-21T04:00:00.000Z,23,Minor Arterial,Dry, , ,Yes, , ,Yes, , 
-79.32454200000001,43.81428,Scarborough,2018, ,2018-01-24T05:00:00.000Z,11,Major Arterial,Dry,Yes, ,Yes,Yes, ,Yes, , 
-79.583987,43.688479,Etobicoke York,2018, ,2018-05-04T04:00:00.000Z,23,Major Arterial, , , , ,Yes, ,Yes, , 
-79.426227,43.663294,Toronto and East York,2018,Other,2018-10-18T04:00:00.000Z,12,Minor Arterial,Dry, , ,Yes,Yes, ,Yes, , 
-79.58575,43.750846,Etobicoke York,2018, ,2018-11-01T04:00:00.000Z,20,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.520046,43.633887,Etobicoke York,2018,Motorcycle,2018-07-29T04:00:00.000Z,10,Collector,Dry, , , , , , ,Yes, 
-79.488223,43.727903999999995,North York,2018, ,2018-01-15T05:00:00.000Z,15,Local,Loose Snow, , , ,Yes, ,Yes, , 
-79.392772,43.788287,North York,2018,"Automobile, Station Wagon",2018-02-17T05:00:00.000Z,23,Major Arterial, , , ,Yes, , ,Yes, , 
-79.399799,43.667445,Toronto and East York,2018,Bicycle,2018-06-12T04:00:00.000Z,12,Major Arterial,Dry, , , , ,Yes, , ,Yes
-79.443141,43.716181,North York,2018, ,2018-11-20T05:00:00.000Z,18,Expressway,Dry, , ,Yes,Yes, , , , 
-79.438556,43.736334,North York,2018,"Automobile, Station Wagon",2018-05-20T04:00:00.000Z,23,Major Arterial,Dry, , ,Yes, , ,Yes, , 
-79.16299000000001,43.786017,Scarborough,2018, ,2018-08-09T04:00:00.000Z,0,Expressway, , , , ,Yes, ,Yes, , 
-79.562267,43.747714,Etobicoke York,2018, ,2018-02-02T05:00:00.000Z,9,Major Arterial,Dry, , ,Yes,Yes, ,Yes, , 
-79.369693,43.663325,Toronto and East York,2018, ,2018-09-21T04:00:00.000Z,16,Laneway,Dry, , , ,Yes, ,Yes, , 
-79.398158,43.658187,Toronto and East York,2018, ,2018-03-15T04:00:00.000Z,2,Major Arterial,Dry, ,Yes,Yes,Yes, ,Yes, , 
-79.394183,43.675101,Toronto and East York,2018, ,2018-12-22T05:00:00.000Z,6,Major Arterial,Dry, , ,Yes,Yes, ,Yes, , 
-79.282733,43.716109,Scarborough,2018, ,2018-07-30T04:00:00.000Z,14,Major Arterial,Dry, , ,Yes,Yes, ,Yes, , 
-79.245151,43.837934999999995,Scarborough,2018, ,2018-01-07T05:00:00.000Z,21,Major Arterial,Other, , , ,Yes, ,Yes, , 
-79.451724,43.700686,North York,2018, ,2018-09-20T04:00:00.000Z,16,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.44089100000001,43.765390999999994,North York,2018, ,2018-02-20T05:00:00.000Z,16,Major Arterial,Wet, , ,Yes,Yes, , , ,Yes
-79.267612,43.758383,Scarborough,2018, ,2018-12-04T05:00:00.000Z,19,Major Arterial,Dry, , ,Yes,Yes, ,Yes, , 
-79.22932,43.756827,Scarborough,2018, ,2018-03-02T05:00:00.000Z,19,Collector,Other, , , ,Yes, ,Yes, , 
-79.504077,43.600909,Etobicoke York,2018,Other,2018-09-11T04:00:00.000Z,17,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.427638,43.630686,Toronto and East York,2018,Motorcycle,2018-06-02T04:00:00.000Z,19,Major Arterial, , , , , , ,Yes,Yes, 
-79.361987,43.692008,Toronto and East York,2018,"Automobile, Station Wagon",2018-01-01T05:00:00.000Z,1,Major Arterial,Dry, , ,Yes, , ,Yes, , 
-79.415889,43.722941,North York,2018,"Automobile, Station Wagon",2018-11-01T04:00:00.000Z,17,Major Arterial,Dry, , , , , ,Yes, , 
-79.291301,43.763327000000004,Scarborough,2018, ,2018-11-09T05:00:00.000Z,6,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.52977299999999,43.647521000000005,Etobicoke York,2018, ,2018-12-26T05:00:00.000Z,18,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.589862,43.759535,Etobicoke York,2018, ,2018-06-29T04:00:00.000Z,1,Major Arterial,Dry, , ,Yes,Yes, ,Yes, , 
-79.469287,43.637206,Toronto and East York,2018, ,2018-10-01T04:00:00.000Z,6,Major Arterial,Wet, , , ,Yes, , , , 
-79.247051,43.719565,Scarborough,2018, ,2018-09-26T04:00:00.000Z,7,Minor Arterial,Dry,Yes, ,Yes,Yes, ,Yes, , 
-79.259883,43.716772999999996,Scarborough,2018,Motorcycle,2018-06-14T04:00:00.000Z,5,Major Arterial,Dry, , ,Yes, , ,Yes,Yes, 
-79.406253,43.762419,North York,2018, ,2018-10-08T04:00:00.000Z,1,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.525653,43.599353,Etobicoke York,2018, ,2018-09-05T04:00:00.000Z,14,Local,Dry, , , ,Yes, , , ,Yes
-79.411601,43.703868,Toronto and East York,2018, ,2018-06-23T04:00:00.000Z,12,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.520099,43.695372,Etobicoke York,2018,Motorcycle,2018-10-05T04:00:00.000Z,18,Major Arterial,Dry, , ,Yes, , ,Yes,Yes, 
-79.26992299999999,43.790507,Scarborough,2018, ,2018-01-02T05:00:00.000Z,17,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.239131,43.767378,Scarborough,2018,Motorcycle,2018-08-10T04:00:00.000Z,20,Minor Arterial,Dry,Yes, ,Yes, , ,Yes,Yes, 
-79.472026,43.683169,Etobicoke York,2018,Motorcycle,2018-09-18T04:00:00.000Z,18,Major Arterial,Dry, , ,Yes, , ,Yes,Yes, 
-79.24006999999999,43.793504999999996,Scarborough,2017, ,2017-06-13T04:00:00.000Z,16,Major Arterial,Dry, , , , , ,Yes, , 
-79.26977099999999,43.711009000000004,Scarborough,2017, ,2017-09-28T04:00:00.000Z,16,Minor Arterial,Dry, ,Yes,Yes,Yes, ,Yes, , 
-79.311122,43.758727,Scarborough,2017,"Automobile, Station Wagon",2017-05-16T04:00:00.000Z,11,Major Arterial,Dry, , , , , ,Yes, , 
-79.471744,43.652056,Toronto and East York,2017,"Automobile, Station Wagon",2017-03-07T05:00:00.000Z,15,Major Arterial,Dry, , ,Yes, , ,Yes, , 
-79.501659,43.768195,Etobicoke York,2017, ,2017-10-03T04:00:00.000Z,16,Minor Arterial,Dry, , , ,Yes, ,Yes, , 
-79.250186,43.741065,Scarborough,2017,"Automobile, Station Wagon",2017-02-02T05:00:00.000Z,2,Major Arterial,Wet, , ,Yes, , ,Yes, , 
-79.390872,43.779303000000006,North York,2017, ,2017-05-31T04:00:00.000Z,9,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.397746,43.745096999999994,North York,2017,"Automobile, Station Wagon",2017-03-19T04:00:00.000Z,2,Major Arterial,Wet, , ,Yes, , ,Yes, , 
-79.509639,43.7396,North York,2017, ,2017-03-04T05:00:00.000Z,10,Major Arterial,Dry,Yes, ,Yes,Yes, ,Yes, , 
-79.380771,43.649821,Toronto and East York,2017, ,2017-02-23T05:00:00.000Z,10,Major Arterial,Dry, , ,Yes,Yes, ,Yes, , 
-79.24901899999999,43.83705,Scarborough,2017, ,2017-08-27T04:00:00.000Z,20,Major Arterial,Dry, , ,Yes,Yes, ,Yes, , 
-79.380786,43.795336,North York,2017,"Automobile, Station Wagon",2017-04-13T04:00:00.000Z,1,Collector,Dry, , ,Yes, , ,Yes, , 
-79.251254,43.706267,Scarborough,2017, ,2017-06-03T04:00:00.000Z,11,Major Arterial,Dry, , ,Yes,Yes, ,Yes, , 
-79.30125699999999,43.763490999999995,Scarborough,2017, ,2017-09-27T04:00:00.000Z,21,Major Arterial,Dry, , ,Yes,Yes, ,Yes, , 
-79.495136,43.685427000000004,Etobicoke York,2017, ,2017-12-18T05:00:00.000Z,17,Major Arterial,Wet, , , ,Yes, ,Yes, , 
-79.211665,43.816607,Scarborough,2017, ,2017-05-05T04:00:00.000Z,23,Minor Arterial, , , , , , ,Yes, , 
-79.428958,43.649501,Toronto and East York,2017, ,2017-08-25T04:00:00.000Z,11,Minor Arterial,Dry, , , ,Yes, ,Yes, , 
-79.458873,43.73202,North York,2017, ,2017-04-11T04:00:00.000Z,10,Major Arterial,Dry, , ,Yes,Yes, , , ,Yes
-79.370532,43.658351,Toronto and East York,2017, ,2017-08-15T04:00:00.000Z,4,Major Arterial,Wet, , , ,Yes, , , , 
-79.519672,43.604773,Etobicoke York,2017,Pick Up Truck,2017-02-18T05:00:00.000Z,0,Major Arterial,Dry, , ,Yes, , ,Yes, , 
-79.260021,43.734023,Scarborough,2017, ,2017-07-18T04:00:00.000Z,10,Major Arterial,Dry, , , ,Yes, , , , 
-79.472667,43.633497999999996,Toronto and East York,2017,"Automobile, Station Wagon",2017-01-29T05:00:00.000Z,3,Expressway,Dry, ,Yes,Yes, , ,Yes, , 
-79.39563299999999,43.637957,Toronto and East York,2017, ,2017-01-29T05:00:00.000Z,1,Expressway,Dry, , , ,Yes, ,Yes, , 
-79.542079,43.592673,Etobicoke York,2017,Delivery Van,2017-01-21T05:00:00.000Z,0,Major Arterial,Wet, , ,Yes, , ,Yes, , 
-79.40224,43.725344,North York,2017, ,2017-10-05T04:00:00.000Z,3,Major Arterial,Dry, , , ,Yes, , , , 
-79.243045,43.720442,Scarborough,2017,"Automobile, Station Wagon",2017-08-26T04:00:00.000Z,10,Minor Arterial,Dry, , ,Yes, , ,Yes, , 
-79.20591999999999,43.749583,Scarborough,2017, ,2017-12-17T05:00:00.000Z,0,Major Arterial,Other, , ,Yes, , , , , 
-79.431827,43.63795,Toronto and East York,2017,Bicycle,2017-10-18T04:00:00.000Z,9,Major Arterial,Dry, , ,Yes, ,Yes,Yes, , 
-79.422664,43.654326,Toronto and East York,2017,Bicycle,2017-12-20T05:00:00.000Z,11,Major Arterial,Other, , , , ,Yes, , ,Yes
-79.484439,43.64926,Toronto and East York,2017,Motorcycle,2017-07-18T04:00:00.000Z,15,Major Arterial,Dry, , , , , , ,Yes,Yes
-79.287677,43.764189,Scarborough,2017, ,2017-01-08T05:00:00.000Z,18,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.292102,43.738906,Scarborough,2017, ,2017-11-10T05:00:00.000Z,22,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.446689,43.756312,North York,2017, ,2017-09-05T04:00:00.000Z,18,Local,Dry, , ,Yes,Yes, ,Yes, , 
-79.251239,43.701213,Scarborough,2017, ,2017-04-06T04:00:00.000Z,14,Local,Wet, , , , , , , ,Yes
-79.17908,43.793753,Scarborough,2017, ,2017-04-21T04:00:00.000Z,15,Collector,Dry, , , ,Yes, ,Yes, , 
-79.61201,43.720431,Etobicoke York,2017, ,2017-03-04T05:00:00.000Z,12,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.37099,43.658221000000005,Toronto and East York,2017, ,2017-07-31T04:00:00.000Z,7,Major Arterial,Dry, , ,Yes,Yes, ,Yes, , 
-79.26276700000001,43.827811,Scarborough,2017, ,2017-12-20T05:00:00.000Z,18,Collector,Other, , , ,Yes, ,Yes, , 
-79.38985799999999,43.679961,Toronto and East York,2017, ,2017-12-03T05:00:00.000Z,12,Local,Dry, , , ,Yes, ,Yes, , 
-79.494518,43.676146,Etobicoke York,2017,Bicycle,2017-06-30T04:00:00.000Z,13,Collector,Dry, , , , ,Yes,Yes, , 
-79.61288,43.755641,Etobicoke York,2017, ,2017-09-15T04:00:00.000Z,6,Major Arterial,Dry, , ,Yes, , ,Yes, ,Yes
-79.366107,43.781909000000006,North York,2017,Motorcycle,2017-04-26T04:00:00.000Z,18,Major Arterial,Dry, , ,Yes, , ,Yes,Yes, 
-79.36806,43.680995,Toronto and East York,2017,Motorcycle,2017-07-08T04:00:00.000Z,20,Major Arterial,Dry, , , , , ,Yes,Yes, 
-79.49446400000001,43.781508,North York,2017, ,2017-10-31T04:00:00.000Z,22,Major Arterial,Other, , ,Yes, , ,Yes, , 
-79.37889399999999,43.667636,Toronto and East York,2017, ,2017-03-18T04:00:00.000Z,19,Major Arterial,Wet, , , ,Yes, ,Yes, , 
-79.542331,43.752016999999995,Etobicoke York,2017,"Automobile, Station Wagon",2017-01-25T05:00:00.000Z,14,Major Arterial,Wet,Yes, ,Yes, , ,Yes, ,Yes
-79.35718100000001,43.682852000000004,Toronto and East York,2017, ,2017-09-20T04:00:00.000Z,19,Minor Arterial,Dry, , , ,Yes, ,Yes, , 
-79.37382099999999,43.648543,Toronto and East York,2017, ,2017-12-15T05:00:00.000Z,12,Minor Arterial,Other, , ,Yes,Yes, , , ,Yes
-79.36725899999999,43.648974,Toronto and East York,2017, ,2017-01-03T05:00:00.000Z,7,Minor Arterial,Wet, , , ,Yes, ,Yes, , 
-79.274997,43.829547,Scarborough,2017, ,2017-09-28T04:00:00.000Z,21,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.560214,43.621218,Etobicoke York,2017,"Automobile, Station Wagon",2017-11-02T04:00:00.000Z,8,Minor Arterial, , , ,Yes, , ,Yes, , 
-79.27088499999999,43.687686,Scarborough,2017, ,2017-12-21T05:00:00.000Z,15,Major Arterial,Other,Yes,Yes,Yes,Yes, ,Yes, , 
-79.215762,43.760802000000005,Scarborough,2017, ,2017-07-22T04:00:00.000Z,23,Minor Arterial,Dry, , , ,Yes, ,Yes, , 
-79.322238,43.775355,Scarborough,2017,Passenger Van,2017-11-24T05:00:00.000Z,11,Major Arterial,Dry, , , ,Yes, ,Yes, ,Yes
-79.34798,43.755549,North York,2017, ,2017-10-04T04:00:00.000Z,23,Major Arterial,Dry, ,Yes, ,Yes, ,Yes, , 
-79.397403,43.651315999999994,Toronto and East York,2017, ,2017-04-14T04:00:00.000Z,18,Major Arterial,Dry, , , ,Yes, , , , 
-79.286601,43.751868,Scarborough,2017, ,2017-12-01T05:00:00.000Z,23,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.40326999999999,43.707171,North York,2017, ,2017-11-28T05:00:00.000Z,12,Collector,Dry, , ,Yes,Yes, ,Yes, , 
-79.194843,43.803004,Scarborough,2017,"Automobile, Station Wagon",2017-08-10T04:00:00.000Z,18,Major Arterial,Dry, , , , , ,Yes, , 
-79.312076,43.748763000000004,Scarborough,2017,"Automobile, Station Wagon",2017-08-24T04:00:00.000Z,23,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.30125699999999,43.763490999999995,Scarborough,2017, ,2017-09-27T04:00:00.000Z,21,Major Arterial,Dry, , ,Yes,Yes, ,Yes, , 
-79.447238,43.734515,North York,2017,Motorcycle,2017-05-08T04:00:00.000Z,18,Major Arterial,Dry, , ,Yes, , ,Yes,Yes, 
-79.44137099999999,43.635432,Toronto and East York,2017,Bicycle,2017-05-24T04:00:00.000Z,18,Expressway,Dry, , , , ,Yes, , , 
-79.260387,43.715674,Scarborough,2016, ,2016-06-17T04:00:00.000Z,3,Minor Arterial,Dry, , , ,Yes, ,Yes, , 
-79.246181,43.820227,Scarborough,2016, ,2016-03-31T04:00:00.000Z,21,Major Arterial,Wet, , , ,Yes, ,Yes, , 
-79.29066800000001,43.81116,Scarborough,2016, ,2016-12-13T05:00:00.000Z,14,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.4099,43.788653000000004,North York,2016,"Automobile, Station Wagon",2016-04-09T04:00:00.000Z,21,Minor Arterial,Dry,Yes, ,Yes, , ,Yes, , 
-79.435222,43.633078000000005,Toronto and East York,2016,"Automobile, Station Wagon",2016-10-31T04:00:00.000Z,2,Expressway,Dry, , ,Yes, , ,Yes, , 
-79.19795500000001,43.84878,Scarborough,2016,"Automobile, Station Wagon",2016-08-14T04:00:00.000Z,2,Minor Arterial,Dry, , ,Yes, , ,Yes, , 
-79.377147,43.711028000000006,North York,2016, ,2016-01-15T05:00:00.000Z,14,Major Arterial,Wet, , , ,Yes, ,Yes, , 
-79.33229399999999,43.738375,North York,2016,"Automobile, Station Wagon",2016-05-31T04:00:00.000Z,14,Expressway,Dry, , , , , ,Yes, ,Yes
-79.54156,43.593039000000005,Etobicoke York,2016,"Automobile, Station Wagon",2016-01-08T05:00:00.000Z,5,Major Arterial,Wet, , ,Yes, , ,Yes, , 
-79.267925,43.732192,Scarborough,2016, ,2016-06-06T04:00:00.000Z,14,Major Arterial,Dry,Yes, ,Yes, , ,Yes, , 
-79.48286800000001,43.688357,Etobicoke York,2016,"Automobile, Station Wagon",2016-01-06T05:00:00.000Z,14,Major Arterial,Dry, , , , , ,Yes, , 
-79.37324100000001,43.65372,Toronto and East York,2016, ,2016-03-04T05:00:00.000Z,14,Major Arterial,Dry, , , ,Yes, , , ,Yes
-79.392284,43.640692,Toronto and East York,2016, ,2016-06-14T04:00:00.000Z,14,Minor Arterial,Dry, , ,Yes,Yes, ,Yes, , 
-79.513202,43.739379,North York,2016, ,2016-04-10T04:00:00.000Z,3,Major Arterial,Dry, , ,Yes, , ,Yes, , 
-79.511264,43.731806,North York,2016,Motorcycle,2016-05-17T04:00:00.000Z,14,Major Arterial,Dry, , ,Yes, , ,Yes,Yes, 
-79.513202,43.739379,North York,2016, ,2016-04-10T04:00:00.000Z,3,Major Arterial,Dry, , ,Yes, , ,Yes, , 
-79.364993,43.656932,Toronto and East York,2016, ,2016-07-28T04:00:00.000Z,14,Minor Arterial,Dry, , , ,Yes, , , ,Yes
-79.409488,43.656096000000005,Toronto and East York,2016, ,2016-11-02T04:00:00.000Z,19,Major Arterial,Wet, , , ,Yes, ,Yes, , 
-79.513202,43.739379,North York,2016, ,2016-04-10T04:00:00.000Z,3,Major Arterial,Dry, , ,Yes, , ,Yes, , 
-79.4864,43.653998,Toronto and East York,2016, ,2016-04-23T04:00:00.000Z,3,Major Arterial,Other, , ,Yes, , ,Yes, , 
-79.222949,43.742284999999995,Scarborough,2016, ,2016-04-25T04:00:00.000Z,21,Major Arterial,Wet, , , ,Yes, ,Yes, , 
-79.50360400000001,43.760237,Etobicoke York,2016, ,2016-02-13T05:00:00.000Z,10,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.438091,43.640776,Toronto East York,2016, ,2016-02-18T05:00:00.000Z,22,Local,Dry, , , ,Yes, , , , 
