Neighbourhood ,"Population, 2016"
Agincourt/Malvern,96664
Alderwood,12054
Annex,38133
Banbury-Don Mills/York Mills,36961
Bathurst Manor,43466
Bay Street Corridor,25797
Bayview Village,21396
Bayview Woods-Steeles/Hillcrest Village,30088
Bedford Park-Nortown,23236
Bendale,29960
Birchcliffe-Cliffside,22291
Black Creek,21737
Briar Hill-Belgravia,14257
Broadview North,11499
Brookhaven-Amesbury,17757
Cabbagetown-South St.James Town,11669
Caledonia-Fairbank,31165
Casa Loma,10968
Church-Yonge Corridor,31340
Clairlea-Birchmount,26984
Clanton Park,16472
Cliffcrest,15935
Danforth Village-East York,76346
Don Valley Village,27051
Dorset Park,25003
Dovercourt/Davenport/Junction,65124
Downsview-Roding-CFB,65543
Dufferin Grove/Little Portugal,41170
Edenbridge-Humber Valley,28897
Eglinton East,22776
Elms-Old Rexdale,9456
Englemount-Lawrence,22372
Eringate-Centennial-West Deane,30436
Flemingdon Park,43041
Forest Hill North,12806
Forest Hill South,10732
Guildwood,9917
Henry Farm,15723
High Park North,22162
High Park-Swansea,23925
Humber Heights-Westmount,10948
Humewood-Cedarvale,14365
Ionview,29324
Islington-City Centre West,43965
Keelesdale-Eglinton West,11058
Kennedy Park,17123
Kensington-Chinatown,17945
Kingsview Village-The Westway,22000
Kingsway South,9271
L'Amoreaux/Steeles/Milliken,111006
Lansing-Westgate,16164
Lawrence Park North,14607
Lawrence Park South,15179
Leaside-Bennington,16828
Long Branch,10084
Maple Leaf,10111
Markland Wood,10554
Mimico,33964
Morningside,29949
Moss Park/Regent Park,31309
Mount Dennis,13593
Mount Olive-Silverstone-Jamestown,32954
Mount Pleasant East,16775
New Toronto,11463
North St.James Town,18615
O'Connor-Parkview,18675
Old East York,17180
Parkwoods-Donalda,34805
Rexdale-Kipling,10529
Riverdale,39792
Rockcliffe-Smythe,22246
Roncesvalles,14974
Rosedale-Moore Park,20923
Rouge,46496
Runnymede-Bloor West Village,18055
Rustic/Pelmo Park/Humberlea,20663
Scarborough Village,16724
South Parkdale/King West,53029
St.Andrew-Windfields,17812
Stonegate-Queensway,25051
Tam O'Shanter-Sullivan,27446
The Beaches,21567
Trinity-Bellwoods,16556
Victoria Village,17510
Waterfront Communities-The Island,65913
West Hill,27392
West Humber-Clairville,71633
Westminster-Branson,26274
Weston,29090
Wexford/Maryvale,27917
Willowdale East,66531
Willowdale West,40767
Willowridge-Martingrove-Richview,22156
Woburn,53485
Woodbine Corridor,12541
Woodbine-Lumsden,7865
Wychwood,14349
Yonge-Eglinton,11817
Yonge-St.Clair,12528
Yorkdale-Glen Park,14804